tid,gender,tDept,Enroll,Evals Made,Eval/Enroll,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,rEasy,rHelpful,rInterest,rOverall,rWouldTakeAgain,rmp Grade,sentimentValue,teacherRatingTags,rmp Evals/Enroll,rmp Evals
102823,1.0,VIS,518,250,0.4826254826254826,0.9718599999999998,0.9156639999999999,5.575120000000002,3.8819999999999997,3.9356043956043956,1.7777777777777777,2.111111111111111,3.5,2.388888888888889,0.0,,0.14824107990774657,,0.017374517374517374,9.0
102890,-1.0,DOC,2763,1600,0.579080709373869,0.9150893749999996,0.9131500000000005,5.0860125,3.313030682529743,2.911539634146341,2.7906976744186047,3.6511627906976742,3.5483870967741935,3.9186046511627906,,1.85,0.1284895885767979,,0.015562794064422729,43.0
103722,1.0,POLI,59,28,0.4745762711864407,0.893,0.7145714285714286,4.8585714285714285,3.8728571428571428,3.5785714285714283,2.8333333333333335,4.666666666666667,4.666666666666667,4.75,,4.0,0.4418121693121693,"Participation matters,Get ready to read,Amazing lectures,",0.1016949152542373,6.0
103728,,CGS,13,4,0.3076923076923077,1.0,1.0,6.0,3.33,,3.4285714285714284,1.5714285714285714,3.2857142857142856,1.7857142857142858,,,-0.17088529856386997,,0.5384615384615384,7.0
103771,1.0,HUM,2747,2122,0.7724790680742628,0.7321456173421301,0.9431875589066917,7.053642789820923,3.0833553251649386,3.0169651272384543,3.3214285714285716,4.267857142857143,3.1621621621621623,4.357142857142857,0.5714285714285714,3.563636363636364,0.2939539737296433,"Lecture heavy,Get ready to read,Amazing lectures,So many papers,Caring,Respected,""Skip class? You won t pass."",Hilarious,Lots of homework,Inspirational,",0.02038587550054605,56.0
103773,-1.0,TWS,380,254,0.6684210526315789,0.7660433070866142,0.7612992125984253,3.5700393700787396,3.4891338582677163,3.111496062992126,2.44,3.84,3.2666666666666666,3.82,1.0,4.0,0.1375748360225633,"Respected,Gives good feedback,Inspirational,",0.06578947368421052,25.0
104038,1.0,CHEM,896,458,0.5111607142857143,0.9010458515283843,0.9799257641921398,3.2007860262008734,3.712292576419214,3.1786062717770034,1.7446808510638299,4.446808510638298,3.1714285714285713,4.457446808510638,,3.5,0.2742559223184224,"Inspirational,Caring,",0.052455357142857144,47.0
105205,-1.0,VIS,1325,664,0.5011320754716981,0.7605421686746988,0.7014969879518073,3.2475451807228914,3.625572289156626,3.3997631133671744,2.3541666666666665,3.0,3.024390243902439,3.15625,1.0,3.5666666666666664,0.04346145921015713,"Clear grading criteria,Respected,Caring,Amazing lectures,Inspirational,",0.036226415094339624,48.0
105578,-1.0,CGS,354,168,0.4745762711864407,0.6128392857142857,0.42744642857142856,4.501190476190476,3.3436309523809524,3.314285714285714,2.6,2.342857142857143,2.8260869565217392,2.4,0.0,1.5,-0.15843164210128496,,0.09887005649717515,35.0
105784,1.0,MATH,16431,7312,0.44501247641652975,0.8572525984682712,0.8670079321663023,6.508990700218817,3.214954868708971,2.5956440607157787,2.838235294117647,3.963235294117647,3.1761658031088085,3.9908088235294117,0.375,3.3428571428571425,0.2216505742640982,"Test heavy,Tough grader,Get ready to read,Graded by few things,""Skip class? You won t pass."",Amazing lectures,Clear grading criteria,Respected,Gives good feedback,Lots of homework,Participation matters,Accessible outside class,Hilarious,Caring,Lecture heavy,Inspirational,",0.016554074615056903,272.0
